Indicator,Country,Date,value
Cumulative number of probable Ebola deaths,Spain,04/03/2015,0
Cumulative number of suspected Ebola deaths,Spain,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,04/03/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,04/03/2015,1
Cumulative number of probable Ebola deaths,United States of America,04/03/2015,0
Cumulative number of suspected Ebola deaths,United States of America,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,04/03/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,04/03/2015,3205
Cumulative number of confirmed Ebola cases,Guinea,04/03/2015,2808
Cumulative number of probable Ebola cases,Guinea,04/03/2015,392
Cumulative number of suspected Ebola cases,Guinea,04/03/2015,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,04/03/2015,2127
Cumulative number of confirmed Ebola deaths,Guinea,04/03/2015,1735
Cumulative number of probable Ebola deaths,Guinea,04/03/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,04/03/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,04/03/2015,3153
Cumulative number of probable Ebola cases,Liberia,04/03/2015,1888
Cumulative number of suspected Ebola cases,Liberia,04/03/2015,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,04/03/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,04/03/2015,11443
Cumulative number of confirmed Ebola cases,Sierra Leone,04/03/2015,8353
Cumulative number of probable Ebola cases,Sierra Leone,04/03/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,04/03/2015,2803
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,04/03/2015,3530
Cumulative number of confirmed Ebola deaths,Sierra Leone,04/03/2015,3164
Cumulative number of probable Ebola deaths,Sierra Leone,04/03/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,04/03/2015,158
Cumulative number of confirmed Ebola cases,United Kingdom,02/03/2015,1
Cumulative number of probable Ebola cases,United Kingdom,02/03/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,02/03/2015,3205
Cumulative number of confirmed Ebola cases,Guinea,02/03/2015,2808
Cumulative number of probable Ebola cases,Guinea,02/03/2015,392
Cumulative number of suspected Ebola cases,Guinea,02/03/2015,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,02/03/2015,2127
Cumulative number of confirmed Ebola deaths,Guinea,02/03/2015,1735
Cumulative number of probable Ebola deaths,Guinea,02/03/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,02/03/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,02/03/2015,3153
Cumulative number of probable Ebola cases,Liberia,02/03/2015,1888
Cumulative number of suspected Ebola cases,Liberia,02/03/2015,4224
