Indicator,Country,Date,value
Cumulative number of suspected Ebola deaths,Sierra Leone,16/09/2015,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,16/09/2015,4806
Cumulative number of probable Ebola deaths,Guinea,16/09/2015,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,16/09/2015,2530
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,16/09/2015,7
Cumulative number of confirmed Ebola deaths,Sierra Leone,16/09/2015,3587
Cumulative number of probable Ebola deaths,Sierra Leone,16/09/2015,208
Cumulative number of confirmed Ebola cases,Liberia,16/09/2015,3151
Cumulative number of probable Ebola cases,Liberia,16/09/2015,1879
Cumulative number of suspected Ebola cases,Liberia,16/09/2015,5636
Number of confirmed Ebola cases in the last 21 days,Guinea,16/09/2015,3
Cumulative number of confirmed Ebola deaths,Guinea,16/09/2015,2078
Cumulative number of suspected Ebola cases,Sierra Leone,16/09/2015,4765
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,16/09/2015,7
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,16/09/2015,3953
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,16/09/2015,10666
Cumulative number of confirmed Ebola deaths,Liberia 2,16/09/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,16/09/2015,6
Number of confirmed Ebola cases in the last 21 days,Liberia 2,16/09/2015,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia 2,16/09/2015,0
Cumulative number of confirmed Ebola cases,Liberia 2,16/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,16/09/2015,2
Cumulative number of confirmed Ebola cases,Italy,16/09/2015,1
Cumulative number of probable Ebola cases,Italy,16/09/2015,0
Cumulative number of suspected Ebola cases,Italy,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,16/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,16/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,16/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,16/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,16/09/2015,7
Cumulative number of probable Ebola cases,Mali,16/09/2015,1
Cumulative number of suspected Ebola cases,Mali,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,16/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,16/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,16/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,16/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,16/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,16/09/2015,1
Cumulative number of probable Ebola cases,Senegal,16/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,16/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,16/09/2015,1
Cumulative number of probable Ebola cases,Spain,16/09/2015,0
Cumulative number of suspected Ebola cases,Spain,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,16/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,16/09/2015,4
Cumulative number of probable Ebola cases,United States of America,16/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,16/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,16/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,16/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,16/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,16/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,16/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,16/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,16/09/2015,0
Cumulative number of probable Ebola deaths,Spain,16/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,16/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,16/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,16/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,16/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,16/09/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,17/09/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,17/09/2015,3151
Cumulative number of probable Ebola cases,Liberia,17/09/2015,1879
Cumulative number of suspected Ebola cases,Liberia,17/09/2015,5636
Cumulative number of confirmed Ebola cases,Sierra Leone,17/09/2015,8704
Cumulative number of probable Ebola cases,Sierra Leone,17/09/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,17/09/2015,4788
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,17/09/2015,3955
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,17/09/2015,2530
Cumulative number of probable Ebola deaths,Guinea,17/09/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,17/09/2015,13779
Cumulative number of confirmed Ebola deaths,Sierra Leone,17/09/2015,3589
Cumulative number of suspected Ebola deaths,Sierra Leone,17/09/2015,158
Cumulative number of confirmed Ebola deaths,Guinea,17/09/2015,2078
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,17/09/2015,4806
Cumulative number of probable Ebola deaths,Sierra Leone,17/09/2015,208
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,17/09/2015,3794
Cumulative number of confirmed Ebola cases,Guinea,17/09/2015,3338
Cumulative number of probable Ebola cases,Guinea,17/09/2015,452
Cumulative number of suspected Ebola cases,Guinea,17/09/2015,4
Cumulative number of confirmed Ebola deaths,Liberia 2,17/09/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,17/09/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,17/09/2015,6
Cumulative number of probable Ebola cases,Liberia 2,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,17/09/2015,2
Cumulative number of confirmed Ebola cases,Italy,17/09/2015,1
Cumulative number of probable Ebola cases,Italy,17/09/2015,0
Cumulative number of suspected Ebola cases,Italy,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,17/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,17/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,17/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,17/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,17/09/2015,7
Cumulative number of probable Ebola cases,Mali,17/09/2015,1
Cumulative number of suspected Ebola cases,Mali,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,17/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,17/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,17/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,17/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,17/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,17/09/2015,1
Cumulative number of probable Ebola cases,Senegal,17/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,17/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,17/09/2015,1
Cumulative number of probable Ebola cases,Spain,17/09/2015,0
Cumulative number of suspected Ebola cases,Spain,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,17/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,17/09/2015,4
Cumulative number of probable Ebola cases,United States of America,17/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,17/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,17/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,17/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,17/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,17/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,17/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,17/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,17/09/2015,0
Cumulative number of probable Ebola deaths,Spain,17/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,17/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,17/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,17/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,17/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,17/09/2015,1
Cumulative number of probable Ebola deaths,Guinea,18/09/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,18/09/2015,10666
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,18/09/2015,13785
Cumulative number of suspected Ebola deaths,Sierra Leone,18/09/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,18/09/2015,3794
Cumulative number of confirmed Ebola cases,Liberia,18/09/2015,3151
Cumulative number of confirmed Ebola cases,Sierra Leone,18/09/2015,8704
Cumulative number of probable Ebola cases,Liberia,18/09/2015,1879
Cumulative number of suspected Ebola cases,Liberia,18/09/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,18/09/2015,4806
Cumulative number of probable Ebola cases,Sierra Leone,18/09/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,18/09/2015,4794
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,18/09/2015,3955
Cumulative number of confirmed Ebola deaths,Sierra Leone,18/09/2015,3589
Cumulative number of probable Ebola deaths,Sierra Leone,18/09/2015,208
Cumulative number of confirmed Ebola cases,Guinea,18/09/2015,3339
Cumulative number of probable Ebola cases,Guinea,18/09/2015,452
Cumulative number of suspected Ebola cases,Guinea,18/09/2015,3
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,18/09/2015,2531
Cumulative number of confirmed Ebola deaths,Guinea,18/09/2015,2079
Cumulative number of confirmed Ebola cases,Liberia 2,18/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,18/09/2015,6
Cumulative number of probable Ebola cases,Liberia 2,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,18/09/2015,2
Cumulative number of confirmed Ebola deaths,Liberia 2,18/09/2015,2
Cumulative number of confirmed Ebola cases,Italy,18/09/2015,1
Cumulative number of probable Ebola cases,Italy,18/09/2015,0
Cumulative number of suspected Ebola cases,Italy,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,18/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,18/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,18/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,18/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,18/09/2015,7
Cumulative number of probable Ebola cases,Mali,18/09/2015,1
Cumulative number of suspected Ebola cases,Mali,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,18/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,18/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,18/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,18/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,18/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,18/09/2015,1
Cumulative number of probable Ebola cases,Senegal,18/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,18/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,18/09/2015,1
Cumulative number of probable Ebola cases,Spain,18/09/2015,0
Cumulative number of suspected Ebola cases,Spain,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,18/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,18/09/2015,4
Cumulative number of probable Ebola cases,United States of America,18/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,18/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,18/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,18/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,18/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,18/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,18/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,18/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,18/09/2015,0
Cumulative number of probable Ebola deaths,Spain,18/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,18/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,18/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,18/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,18/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,18/09/2015,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,21/09/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,21/09/2015,3955
Cumulative number of confirmed Ebola deaths,Sierra Leone,21/09/2015,3589
Cumulative number of probable Ebola deaths,Sierra Leone,21/09/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,21/09/2015,158
Cumulative number of confirmed Ebola cases,Guinea,21/09/2015,3340
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,21/09/2015,10666
Cumulative number of probable Ebola cases,Liberia,21/09/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,21/09/2015,13811
Cumulative number of probable Ebola cases,Sierra Leone,21/09/2015,287
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,21/09/2015,3797
Cumulative number of probable Ebola cases,Guinea,21/09/2015,453
Cumulative number of confirmed Ebola cases,Liberia,21/09/2015,3151
Cumulative number of suspected Ebola cases,Liberia,21/09/2015,5636
Cumulative number of confirmed Ebola cases,Sierra Leone,21/09/2015,8704
Cumulative number of suspected Ebola cases,Sierra Leone,21/09/2015,4820
Cumulative number of suspected Ebola cases,Guinea,21/09/2015,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,21/09/2015,2532
Cumulative number of confirmed Ebola deaths,Guinea,21/09/2015,2079
Cumulative number of probable Ebola deaths,Guinea,21/09/2015,453
Cumulative number of confirmed Ebola cases,Liberia 2,21/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,21/09/2015,6
Cumulative number of probable Ebola cases,Liberia 2,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,21/09/2015,2
Cumulative number of confirmed Ebola deaths,Liberia 2,21/09/2015,2
Cumulative number of confirmed Ebola cases,Italy,21/09/2015,1
Cumulative number of probable Ebola cases,Italy,21/09/2015,0
Cumulative number of suspected Ebola cases,Italy,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,21/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,21/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,21/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,21/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,21/09/2015,7
Cumulative number of probable Ebola cases,Mali,21/09/2015,1
Cumulative number of suspected Ebola cases,Mali,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,21/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,21/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,21/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,21/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,21/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,21/09/2015,1
Cumulative number of probable Ebola cases,Senegal,21/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,21/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,21/09/2015,1
Cumulative number of probable Ebola cases,Spain,21/09/2015,0
Cumulative number of suspected Ebola cases,Spain,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,21/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,21/09/2015,4
Cumulative number of probable Ebola cases,United States of America,21/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,21/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,21/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,21/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,21/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,21/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,21/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,21/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,21/09/2015,0
Cumulative number of probable Ebola deaths,Spain,21/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,21/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,21/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,21/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,21/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,21/09/2015,1
Cumulative number of confirmed Ebola cases,Guinea,22/09/2015,3340
Cumulative number of suspected Ebola cases,Guinea,22/09/2015,7
Cumulative number of probable Ebola cases,Liberia,22/09/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,22/09/2015,4806
Cumulative number of probable Ebola cases,Sierra Leone,22/09/2015,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,22/09/2015,3955
Cumulative number of probable Ebola cases,Guinea,22/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,22/09/2015,2532
Cumulative number of confirmed Ebola cases,Liberia,22/09/2015,3151
Cumulative number of suspected Ebola cases,Liberia,22/09/2015,5636
Cumulative number of suspected Ebola cases,Sierra Leone,22/09/2015,4832
Cumulative number of confirmed Ebola deaths,Sierra Leone,22/09/2015,3589
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,22/09/2015,3800
Cumulative number of probable Ebola deaths,Sierra Leone,22/09/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,22/09/2015,158
Cumulative number of confirmed Ebola deaths,Guinea,22/09/2015,2079
Cumulative number of probable Ebola deaths,Guinea,22/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,22/09/2015,10666
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,22/09/2015,13823
Cumulative number of confirmed Ebola cases,Sierra Leone,22/09/2015,8704
Cumulative number of confirmed Ebola deaths,Liberia 2,22/09/2015,2
Cumulative number of probable Ebola cases,Liberia 2,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,22/09/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,22/09/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,22/09/2015,6
Cumulative number of confirmed Ebola cases,Italy,22/09/2015,1
Cumulative number of probable Ebola cases,Italy,22/09/2015,0
Cumulative number of suspected Ebola cases,Italy,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,22/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,22/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,22/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,22/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,22/09/2015,7
Cumulative number of probable Ebola cases,Mali,22/09/2015,1
Cumulative number of suspected Ebola cases,Mali,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,22/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,22/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,22/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,22/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,22/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,22/09/2015,1
Cumulative number of probable Ebola cases,Senegal,22/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,22/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,22/09/2015,1
Cumulative number of probable Ebola cases,Spain,22/09/2015,0
Cumulative number of suspected Ebola cases,Spain,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,22/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,22/09/2015,4
Cumulative number of probable Ebola cases,United States of America,22/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,22/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,22/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,22/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,22/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,22/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,22/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,22/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,22/09/2015,0
Cumulative number of probable Ebola deaths,Spain,22/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,22/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,22/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,22/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,22/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,22/09/2015,1
Cumulative number of probable Ebola cases,Liberia,23/09/2015,1879
Cumulative number of suspected Ebola cases,Liberia,23/09/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,23/09/2015,10666
Cumulative number of suspected Ebola deaths,Sierra Leone,23/09/2015,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,23/09/2015,3955
Cumulative number of confirmed Ebola cases,Sierra Leone,23/09/2015,8704
Cumulative number of confirmed Ebola cases,Guinea,23/09/2015,3340
Cumulative number of suspected Ebola cases,Guinea,23/09/2015,7
Cumulative number of probable Ebola deaths,Guinea,23/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,23/09/2015,2532
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,23/09/2015,6
Cumulative number of probable Ebola deaths,Sierra Leone,23/09/2015,208
Number of confirmed Ebola cases in the last 21 days,Guinea,23/09/2015,3
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,23/09/2015,3
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,23/09/2015,4806
Cumulative number of suspected Ebola cases,Sierra Leone,23/09/2015,4832
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,23/09/2015,13823
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,23/09/2015,6
Cumulative number of probable Ebola cases,Guinea,23/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,23/09/2015,3800
Cumulative number of confirmed Ebola deaths,Guinea,23/09/2015,2079
Cumulative number of confirmed Ebola cases,Liberia,23/09/2015,3151
Cumulative number of probable Ebola cases,Sierra Leone,23/09/2015,287
Cumulative number of confirmed Ebola deaths,Sierra Leone,23/09/2015,3589
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia 2,23/09/2015,0
Cumulative number of confirmed Ebola deaths,Liberia 2,23/09/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,23/09/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,23/09/2015,6
Number of confirmed Ebola cases in the last 21 days,Liberia 2,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,23/09/2015,2
Cumulative number of confirmed Ebola cases,Italy,23/09/2015,1
Cumulative number of probable Ebola cases,Italy,23/09/2015,0
Cumulative number of suspected Ebola cases,Italy,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,23/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,23/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,23/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,23/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,23/09/2015,7
